"NAME","month_report","yr_report","LOCATION","count","type","month"
"Service Desk","Jan",2015,"Kilifi",72,"closed",1
"Service Desk","Jan",2015,"Nairobi",7,"closed",1
"Service Desk","Feb",2015,"Kilifi",130,"closed",2
"Service Desk","Feb",2015,"Mtwapa",1,"closed",2
"Service Desk","Feb",2015,"Nairobi",12,"closed",2
"Service Desk","Mar",2015,"Kilifi",97,"closed",3
"Service Desk","Mar",2015,"Mtwapa",3,"closed",3
"Service Desk","Mar",2015,"Nairobi",15,"closed",3
"Service Desk","Apr",2015,"Kilifi",104,"closed",4
"Service Desk","Apr",2015,"Nairobi",12,"closed",4
"Service Desk","May",2015,"Kilifi",147,"closed",5
"Service Desk","May",2015,"Nairobi",6,"closed",5
"Service Desk","Jun",2015,"Kilifi",157,"closed",6
"Service Desk","Jun",2015,"Nairobi",12,"closed",6
"Service Desk","Jul",2015,"Kilifi",121,"closed",7
"Service Desk","Jul",2015,"Nairobi",7,"closed",7
"Service Desk","Aug",2015,"Kilifi",85,"closed",8
"Service Desk","Aug",2015,"Mtwapa",1,"closed",8
"Service Desk","Aug",2015,"Nairobi",11,"closed",8
"Service Desk","Sep",2015,"Kilifi",71,"closed",9
"Service Desk","Sep",2015,"Nairobi",9,"closed",9
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
